,Order ID,Amount,Profit,Quantity,Category,Sub-Category,Payment Mode,Order Date,Customer Name,State,year,Month,Quarter,Year
21,OD1021,403.5327492210877,7.181905876724825,1,Electronics,Laptops,COD,2025-12-25 22:06:26,Customer_7,Uttar Pradesh,,12,4,2025
22,OD1022,1381.3560783367489,,1,Clothing,Jeans,Credit Card,2026-01-02 04:20:01,Customer_45,Gujarat,,1,1,2026
23,OD1023,4022.3508253448535,222.46557938430465,4,Electronics,Laptops,UPI,2025-12-31 01:13:22,Customer_44,Gujarat,,12,4,2025
24,OD1024,5922.780169085776,1061.745324935855,4,Electronics,Phones,COD,2026-01-25 19:15:49,Customer_15,Tamil Nadu,,1,1,2026
25,OD1025,6876.4902914568975,1574.8187169834682,5,Electronics,Phones,Debit Card,2025-12-19 22:56:10,Customer_7,Tamil Nadu,,12,4,2025
26,OD1026,431.6955760988572,108.2107964742804,2,Clothing,Shirts,COD,2026-01-06 07:02:03,Customer_8,Maharashtra,,1,1,2026
27,OD1027,2964.3731620818444,-118.08059816374993,2,Furniture,Chairs,Debit Card,2026-01-15 11:14:55,Customer_28,Uttar Pradesh,,1,1,2026
28,OD1028,1273.660186595593,,1,Clothing,Jeans,Debit Card,2026-01-30 21:47:40,Customer_22,Tamil Nadu,,1,1,2026
29,OD1029,4952.2456511284345,1485.1144348421476,4,Clothing,T-shirts,Debit Card,2026-01-08 12:22:57,Customer_5,Tamil Nadu,,1,1,2026
30,OD1030,1257.981537972202,-4.486046534899913,2,Electronics,Laptops,UPI,2026-02-04 02:39:30,Customer_39,Karnataka,,2,1,2026
31,OD1031,1680.3997108193912,283.4502832511764,4,Electronics,Phones,Credit Card,2026-02-02 04:57:53,Customer_45,Delhi,,2,1,2026
32,OD1032,2484.6867046703724,,3,Furniture,Tables,Credit Card,2026-01-19 10:21:11,Customer_42,Uttar Pradesh,,1,1,2026
33,OD1033,925.9382559926904,,1,Furniture,Bookcases,COD,2026-01-16 17:27:23,Customer_21,Uttar Pradesh,,1,1,2026
34,OD1034,4093.23444644183,601.3185909138924,3,Furniture,Bookcases,UPI,2026-01-05 14:40:13,Customer_27,Uttar Pradesh,,1,1,2026
35,OD1035,4097.466516873744,161.0393944911062,3,Clothing,Jeans,COD,2026-02-05 04:10:05,Customer_39,Gujarat,,2,1,2026
36,OD1036,2614.6183844908865,731.5917931783207,2,Furniture,Bookcases,Credit Card,2026-01-25 19:29:47,Customer_26,Delhi,,1,1,2026
37,OD1037,1938.2559163818555,75.52484593113202,2,Electronics,Phones,Debit Card,2026-01-01 19:56:27,Customer_39,Karnataka,,1,1,2026
38,OD1038,744.1668225770009,99.64873174826292,1,Clothing,Jeans,Credit Card,2025-12-24 18:54:21,Customer_19,Gujarat,,12,4,2025
39,OD1039,2463.991430429686,712.6950815426217,3,Electronics,Accessories,,2025-12-27 13:29:50,Customer_20,Karnataka,,12,4,2025
40,OD1040,980.052949289484,,2,Electronics,Phones,UPI,2026-01-06 14:33:01,Customer_39,Tamil Nadu,,1,1,2026
41,OD1041,560.4955152390029,17.95816719326757,2,Electronics,Laptops,UPI,2025-12-19 16:42:11,Customer_36,Maharashtra,,12,4,2025
42,OD1042,4167.664082233616,-314.94544042207264,3,Furniture,Bookcases,Credit Card,2026-01-09 23:48:11,Customer_41,Maharashtra,,1,1,2026
43,OD1043,1572.3562106855777,75.77002361535232,4,Clothing,Shirts,UPI,2026-01-12 09:12:05,Customer_22,Gujarat,,1,1,2026
44,OD1044,2292.918626774518,-195.6472229984115,2,Clothing,T-shirts,Debit Card,2026-01-18 07:05:40,Customer_39,Karnataka,,1,1,2026
45,OD1045,2534.8766381143255,-144.8205326894638,3,Clothing,Jeans,UPI,2026-02-05 18:57:35,Customer_32,Karnataka,,2,1,2026
46,OD1046,1775.9871493317064,223.03918750568005,5,Clothing,Shirts,Debit Card,2026-01-23 22:25:23,Customer_18,Delhi,,1,1,2026
47,OD1047,580.0976099895644,51.96977109334734,1,Furniture,Chairs,Debit Card,2026-01-07 12:16:24,Customer_38,Tamil Nadu,,1,1,2026
48,OD1048,3407.7966341838674,459.1544112985131,4,Furniture,Bookcases,Credit Card,2026-01-20 09:02:06,Customer_21,Delhi,,1,1,2026
49,OD1049,4017.136551456967,515.4441010399539,4,Electronics,Phones,COD,2026-02-05 18:58:14,Customer_28,Tamil Nadu,,2,1,2026
50,OD1050,1212.4773083428263,-47.112435780754495,5,Electronics,Phones,Credit Card,2026-02-06 18:22:45,Customer_43,Uttar Pradesh,,2,1,2026
51,OD1051,212.3272439262991,23.314498709532316,1,Clothing,T-shirts,COD,2026-01-21 20:40:29,Customer_47,Uttar Pradesh,,1,1,2026
52,OD1052,429.6800358265903,124.61875382038124,4,Furniture,Bookcases,Credit Card,2026-01-29 20:53:01,Customer_47,Karnataka,,1,1,2026
53,OD1053,1758.9361004390034,226.27846794715433,2,Furniture,Chairs,COD,2026-01-18 14:52:11,Customer_40,Tamil Nadu,,1,1,2026
54,OD1054,2782.444056251934,286.7145867997487,4,Furniture,Tables,Credit Card,2026-01-02 19:50:32,Customer_14,Maharashtra,,1,1,2026
55,OD1055,4042.727694515429,1102.8793077995329,5,Furniture,Tables,COD,2026-02-03 13:51:05,Customer_2,Delhi,,2,1,2026
56,OD1056,2971.8886506918466,,2,Furniture,Chairs,Credit Card,2026-02-12 02:30:45,Customer_48,Tamil Nadu,,2,1,2026
57,OD1057,933.894236850982,82.77149020415979,1,Electronics,Phones,UPI,2025-12-23 15:38:58,Customer_45,Maharashtra,,12,4,2025
58,OD1058,5804.1506997324705,-291.83914330587595,4,Electronics,Laptops,Debit Card,2026-02-01 10:18:13,Customer_3,Delhi,,2,1,2026
59,OD1059,1137.5689090060828,147.64421014475184,1,Clothing,Jeans,Credit Card,2026-01-06 02:14:09,Customer_23,Maharashtra,,1,1,2026
60,OD1060,1316.4732800479453,-45.14671448403163,4,Electronics,Laptops,Debit Card,2025-12-28 10:12:44,Customer_3,Uttar Pradesh,,12,4,2025
61,OD1061,2170.7008608603696,293.7450369532558,4,Furniture,Tables,,2025-12-26 20:26:06,Customer_48,Uttar Pradesh,,12,4,2025
62,OD1062,1146.6531322467515,115.91305075286486,1,Clothing,Shirts,COD,2025-12-20 15:15:04,Customer_44,Delhi,,12,4,2025
63,OD1063,2579.9671045763175,,3,Furniture,Chairs,Debit Card,2026-01-22 16:29:54,Customer_11,Delhi,,1,1,2026
64,OD1064,3967.9653848277594,780.0399533582575,5,Clothing,Jeans,COD,2026-01-10 21:53:57,Customer_3,Maharashtra,,1,1,2026
65,OD1065,5950.003573355258,-254.35554715131224,5,Electronics,Phones,UPI,2026-01-09 05:35:26,Customer_20,Delhi,,1,1,2026
66,OD1066,1157.828896404541,264.56728585257173,2,Electronics,Accessories,,2026-01-31 09:20:26,Customer_6,Tamil Nadu,,1,1,2026
67,OD1067,3904.502373969254,248.25634651400463,5,Clothing,Shirts,UPI,2025-12-26 15:10:45,Customer_8,Karnataka,,12,4,2025
68,OD1068,2815.9233320647713,,3,Clothing,T-shirts,UPI,2026-01-23 03:07:42,Customer_35,Uttar Pradesh,,1,1,2026
69,OD1069,2852.393350913083,-110.2719260507087,2,Furniture,Bookcases,Credit Card,2026-01-19 23:43:45,Customer_40,Delhi,,1,1,2026
70,OD1070,3720.5922694494006,-219.94256760249812,4,Electronics,Phones,COD,2026-01-31 03:16:51,Customer_25,Tamil Nadu,,1,1,2026
71,OD1071,906.8037042335384,129.38821016632488,1,Clothing,T-shirts,COD,2026-02-11 21:42:12,Customer_1,Maharashtra,,2,1,2026
72,OD1072,258.53326417705733,75.99235752780592,1,Furniture,Bookcases,Credit Card,2026-01-15 13:48:32,Customer_39,Maharashtra,,1,1,2026
73,OD1073,2783.356830128703,,3,Electronics,Accessories,COD,2026-01-31 02:52:34,Customer_24,Gujarat,,1,1,2026
74,OD1074,1133.7976807352038,,2,Electronics,Phones,UPI,2026-01-05 06:01:30,Customer_14,Uttar Pradesh,,1,1,2026
75,OD1075,1546.343538649406,413.46425791582175,2,Furniture,Bookcases,Debit Card,2025-12-25 16:46:51,Customer_30,Gujarat,,12,4,2025
76,OD1076,797.7148818352716,53.90173799619623,1,Clothing,Jeans,COD,2026-01-15 05:46:22,Customer_41,Karnataka,,1,1,2026
77,OD1077,1591.0123923108672,168.75784592957802,4,Furniture,Tables,COD,2025-12-31 05:09:05,Customer_20,Gujarat,,12,4,2025
78,OD1078,3396.3904260284885,-89.03587042495809,4,Furniture,Tables,COD,2026-01-18 14:55:14,Customer_2,Tamil Nadu,,1,1,2026
79,OD1079,1181.60349100146,306.2972843046472,3,Furniture,Bookcases,UPI,2026-01-02 00:27:55,Customer_41,Maharashtra,,1,1,2026
80,OD1080,575.97628559908,121.07657785749171,3,Electronics,Phones,UPI,2026-02-06 12:43:27,Customer_37,Uttar Pradesh,,2,1,2026
81,OD1081,952.0090329089926,-25.92201386220163,3,Electronics,Laptops,Debit Card,2026-01-22 07:31:12,Customer_35,Delhi,,1,1,2026
82,OD1082,1344.45567907467,-120.79323589204296,2,Furniture,Bookcases,Credit Card,2026-01-12 19:33:49,Customer_30,Tamil Nadu,,1,1,2026
83,OD1083,1270.5141456698998,214.40827947906743,3,Electronics,Phones,UPI,2026-01-20 11:10:00,Customer_36,Tamil Nadu,,1,1,2026
84,OD1084,879.4102186967125,,1,Clothing,Jeans,Credit Card,2025-12-24 02:05:13,Customer_15,Uttar Pradesh,,12,4,2025
85,OD1085,3344.746157914654,,5,Clothing,Shirts,UPI,2026-02-09 13:42:29,Customer_1,Maharashtra,,2,1,2026
86,OD1086,815.6629365833758,204.3868858134805,3,Clothing,Shirts,Credit Card,2026-01-26 12:51:08,Customer_40,Delhi,,1,1,2026
87,OD1087,2892.721461885132,,5,Electronics,Accessories,Debit Card,2026-01-17 12:09:46,Customer_16,Gujarat,,1,1,2026
88,OD1088,710.5771407894433,12.638540911330708,1,Electronics,Phones,UPI,2026-01-01 04:29:22,Customer_30,Gujarat,,1,1,2026
89,OD1089,4057.119352955184,892.3313600911915,3,Electronics,Laptops,UPI,2025-12-16 13:17:34,Customer_28,Maharashtra,,12,4,2025
90,OD1090,1973.7390155132125,6.227292992642634,2,Furniture,Chairs,,2026-02-04 09:31:11,Customer_26,Gujarat,,2,1,2026
91,OD1091,1701.7550009381243,,5,Furniture,Tables,,2025-12-28 04:21:50,Customer_15,Tamil Nadu,,12,4,2025
92,OD1092,1751.6984070442215,281.26698193241333,2,Furniture,Chairs,Credit Card,2026-01-30 05:57:39,Customer_47,Tamil Nadu,,1,1,2026
93,OD1093,2345.786618442315,15.48068415808516,5,Furniture,Tables,UPI,2026-01-06 17:06:00,Customer_31,Tamil Nadu,,1,1,2026
94,OD1094,2760.353448589887,186.3465201624638,2,Electronics,Phones,UPI,2025-12-25 14:51:48,Customer_48,Uttar Pradesh,,12,4,2025
95,OD1095,1074.3578668516454,-68.61409697955656,3,Furniture,Tables,UPI,2025-12-18 20:59:09,Customer_25,Tamil Nadu,,12,4,2025
96,OD1096,4426.657069031775,83.4366702272931,4,Clothing,Jeans,UPI,2026-02-02 12:03:40,Customer_7,Uttar Pradesh,,2,1,2026
97,OD1097,477.8757113490728,55.403529660058,1,Furniture,Chairs,Debit Card,2026-01-12 20:30:45,Customer_6,Karnataka,,1,1,2026
98,OD1098,2806.7399654509345,94.58027808041956,3,Electronics,Laptops,UPI,2025-12-20 04:29:00,Customer_10,Maharashtra,,12,4,2025
99,OD1099,1086.8957695645342,151.42025733198565,1,Electronics,Phones,Debit Card,2026-01-14 15:06:40,Customer_20,Karnataka,,1,1,2026
100,OD1100,4290.30023678479,38.00371500053625,4,Furniture,Chairs,Debit Card,2026-01-21 23:48:00,Customer_1,Gujarat,,1,1,2026
101,OD1101,291.546083286546,81.6605831509561,1,Clothing,Jeans,Debit Card,2026-01-21 13:25:38,Customer_24,Uttar Pradesh,,1,1,2026
102,OD1102,5813.250918771948,1102.432645795965,5,Clothing,Jeans,Credit Card,2026-01-24 03:08:31,Customer_33,Delhi,,1,1,2026
103,OD1103,4448.205633585917,1234.927465934766,3,Electronics,Accessories,Credit Card,2026-01-02 14:36:01,Customer_25,Maharashtra,,1,1,2026
104,OD1104,3812.470826569334,95.85292269430168,5,Clothing,T-shirts,,2026-01-05 03:58:11,Customer_39,Maharashtra,,1,1,2026
105,OD1105,4265.919254276423,,3,Clothing,T-shirts,Debit Card,2026-01-19 16:11:22,Customer_14,Delhi,,1,1,2026
106,OD1106,1010.2342906205196,46.348437776650464,1,Clothing,T-shirts,Credit Card,2026-01-11 04:03:37,Customer_20,Delhi,,1,1,2026
107,OD1107,1727.474847825878,328.05906255977226,3,Clothing,Shirts,Debit Card,2026-01-15 18:53:54,Customer_24,Maharashtra,,1,1,2026
108,OD1108,1132.998073669135,122.43997922377378,1,Electronics,Laptops,UPI,2026-02-09 04:51:54,Customer_35,Uttar Pradesh,,2,1,2026
109,OD1109,3954.4152703839054,-361.79829381485456,3,Furniture,Bookcases,UPI,2026-01-26 13:27:12,Customer_23,Karnataka,,1,1,2026
110,OD1110,695.0294814724801,-44.88683584061285,4,Clothing,Jeans,COD,2025-12-31 05:00:21,Customer_34,Maharashtra,,12,4,2025
111,OD1111,456.7581383120044,15.780164905365751,2,Clothing,Shirts,COD,2026-01-20 07:37:36,Customer_6,Uttar Pradesh,,1,1,2026
112,OD1112,2982.355103485436,44.42395872328088,5,Electronics,Accessories,,2026-01-02 03:42:13,Customer_40,Tamil Nadu,,1,1,2026
113,OD1113,7414.05672815222,527.2080393036298,5,Electronics,Phones,,2026-01-09 10:03:07,Customer_26,Karnataka,,1,1,2026
114,OD1114,2312.878561212696,313.2139272000453,5,Furniture,Chairs,Debit Card,2026-02-07 22:01:47,Customer_35,Karnataka,,2,1,2026
115,OD1115,667.6950490578106,197.94984887545544,2,Furniture,Chairs,Credit Card,2026-02-05 21:16:42,Customer_42,Tamil Nadu,,2,1,2026
116,OD1116,6314.497624254373,,5,Clothing,T-shirts,UPI,2026-02-09 15:00:33,Customer_16,Delhi,,2,1,2026
117,OD1117,2382.8365259869092,95.43284988655604,2,Electronics,Phones,Debit Card,2026-01-27 01:22:54,Customer_2,Maharashtra,,1,1,2026
118,OD1118,5971.483806820038,-181.78331476316256,4,Electronics,Accessories,Debit Card,2026-02-06 03:50:48,Customer_30,Delhi,,2,1,2026
119,OD1119,3726.4991249605946,-38.09887467407089,3,Furniture,Chairs,COD,2025-12-15 02:59:11,Customer_48,Maharashtra,,12,4,2025
120,OD1120,1140.407861784284,286.2245202822538,5,Electronics,Laptops,Debit Card,2025-12-27 00:43:49,Customer_3,Tamil Nadu,,12,4,2025
121,OD1121,1293.070946685811,-110.98564048265244,1,Electronics,Accessories,Credit Card,2026-01-01 11:15:44,Customer_33,Tamil Nadu,,1,1,2026
122,OD1122,1343.6689965979565,65.94110261921088,2,Clothing,Jeans,Debit Card,2026-01-28 02:08:20,Customer_42,Delhi,,1,1,2026
123,OD1123,2041.2824136486793,,5,Furniture,Tables,UPI,2026-01-03 00:48:59,Customer_7,Tamil Nadu,,1,1,2026
124,OD1124,3763.6600568856265,147.24824359084238,3,Furniture,Chairs,Debit Card,2025-12-23 22:17:30,Customer_1,Tamil Nadu,,12,4,2025
125,OD1125,3946.2753770164977,-7.441835190604691,3,Electronics,Laptops,Debit Card,2025-12-26 08:48:43,Customer_25,Maharashtra,,12,4,2025
126,OD1126,5382.300231684985,926.0587102010492,5,Electronics,Accessories,Debit Card,2026-01-25 07:58:26,Customer_23,Gujarat,,1,1,2026
127,OD1127,4337.524210376611,373.84255185994584,3,Clothing,Shirts,Debit Card,2026-01-05 00:01:51,Customer_22,Delhi,,1,1,2026
128,OD1128,2490.307667533374,579.877282760561,2,Clothing,Shirts,Debit Card,2025-12-15 07:44:13,Customer_30,Tamil Nadu,,12,4,2025
129,OD1129,883.7820372323613,-47.42591582479213,1,Furniture,Bookcases,Credit Card,2026-02-08 03:47:13,Customer_28,Tamil Nadu,,2,1,2026
130,OD1130,3496.3171905085173,407.3441384183544,3,Clothing,T-shirts,UPI,2026-01-25 17:03:44,Customer_14,Gujarat,,1,1,2026
131,OD1131,1217.5680959347549,334.69899227064315,5,Clothing,T-shirts,UPI,2026-01-24 18:56:05,Customer_7,Karnataka,,1,1,2026
132,OD1132,915.0386442467826,35.09468097618823,1,Electronics,Laptops,Credit Card,2026-02-03 06:50:48,Customer_49,Delhi,,2,1,2026
133,OD1133,3621.7081490722503,575.9582816660135,5,Furniture,Bookcases,Credit Card,2025-12-18 07:33:28,Customer_39,Tamil Nadu,,12,4,2025
134,OD1134,1360.5367486912053,-135.49341680431206,3,Clothing,Shirts,UPI,2026-01-23 19:52:53,Customer_26,Tamil Nadu,,1,1,2026
135,OD1135,6479.468421230962,717.9875533299233,5,Electronics,Accessories,Debit Card,2026-01-02 22:11:02,Customer_23,Delhi,,1,1,2026
136,OD1136,4065.262799974357,37.82243594032784,4,Clothing,T-shirts,Credit Card,2026-01-10 18:29:15,Customer_6,Gujarat,,1,1,2026
137,OD1137,4969.681633648599,293.3988675140484,5,Electronics,Phones,Debit Card,2026-01-23 01:01:13,Customer_41,Delhi,,1,1,2026
138,OD1138,796.6931712702333,-69.74759263588267,2,Furniture,Bookcases,UPI,2026-01-29 02:16:04,Customer_35,Gujarat,,1,1,2026
139,OD1139,1316.072435137855,277.2158409558233,1,Clothing,T-shirts,Debit Card,2025-12-19 12:40:43,Customer_28,Delhi,,12,4,2025
140,OD1140,1418.714143776713,-123.41327402276764,5,Clothing,Jeans,Debit Card,2025-12-20 06:59:33,Customer_24,Uttar Pradesh,,12,4,2025
141,OD1141,950.2290275677396,-0.9350422379113148,1,Clothing,Shirts,UPI,2026-01-28 16:09:45,Customer_37,Maharashtra,,1,1,2026
142,OD1142,2382.9538310456837,521.9232226349267,5,Clothing,T-shirts,Credit Card,2026-01-15 20:47:06,Customer_49,Maharashtra,,1,1,2026
143,OD1143,1543.8287372079458,216.1487123199431,2,Electronics,Laptops,Debit Card,2026-01-02 07:14:30,Customer_20,Maharashtra,,1,1,2026
144,OD1144,155.4663554877,14.334430001908062,1,Electronics,Laptops,COD,2025-12-31 09:15:43,Customer_26,Gujarat,,12,4,2025
145,OD1145,4333.803835046982,,4,Electronics,Laptops,Credit Card,2025-12-21 07:34:03,Customer_17,Delhi,,12,4,2025
146,OD1146,590.8777036928531,-51.240179698042645,1,Electronics,Phones,UPI,2025-12-21 13:23:01,Customer_7,Delhi,,12,4,2025
147,OD1147,2130.501913584344,469.21040641839545,2,Furniture,Bookcases,Debit Card,2025-12-27 10:17:28,Customer_42,Maharashtra,,12,4,2025
148,OD1148,4064.1294712771614,560.486757188578,3,Clothing,Shirts,Debit Card,2026-01-17 05:56:27,Customer_19,Maharashtra,,1,1,2026
149,OD1149,4889.677265190834,,4,Furniture,Tables,Debit Card,2026-01-07 19:22:27,Customer_39,Karnataka,,1,1,2026
150,OD1150,1546.5307280571576,-129.44208185911157,2,Furniture,Tables,UPI,2026-01-14 03:05:31,Customer_40,Karnataka,,1,1,2026
151,OD1151,1783.77811045682,-64.54088783538565,4,Furniture,Tables,Debit Card,2026-01-17 21:07:14,Customer_48,Karnataka,,1,1,2026
152,OD1152,4567.962767331752,1136.203592742261,4,Clothing,T-shirts,Debit Card,2026-01-25 23:40:33,Customer_48,Karnataka,,1,1,2026
153,OD1153,2029.1364538645244,,2,Furniture,Tables,COD,2026-01-18 03:46:09,Customer_14,Karnataka,,1,1,2026
154,OD1154,1226.3567246737578,82.60728530648623,3,Furniture,Bookcases,,2026-01-17 08:51:09,Customer_26,Gujarat,,1,1,2026
155,OD1155,5590.183488364156,1101.727943768591,5,Electronics,Laptops,COD,2025-12-21 10:41:28,Customer_43,Gujarat,,12,4,2025
156,OD1156,819.594214932215,110.82827639679856,1,Furniture,Tables,COD,2025-12-16 17:18:08,Customer_44,Gujarat,,12,4,2025
157,OD1157,2420.2770648957685,392.09392553758056,2,Furniture,Bookcases,,2026-01-26 19:08:01,Customer_29,Tamil Nadu,,1,1,2026
158,OD1158,1968.3686162590575,380.3778045713191,2,Clothing,Shirts,Credit Card,2026-01-15 09:35:06,Customer_48,Uttar Pradesh,,1,1,2026
159,OD1159,2487.952368258033,261.34964869294095,4,Clothing,T-shirts,COD,2026-01-13 05:53:04,Customer_23,Tamil Nadu,,1,1,2026
160,OD1160,2668.1164748498004,,4,Electronics,Laptops,COD,2026-01-24 22:12:50,Customer_16,Delhi,,1,1,2026
161,OD1161,647.514151312465,186.3318637362653,1,Clothing,T-shirts,Debit Card,2026-02-04 03:02:28,Customer_32,Tamil Nadu,,2,1,2026
162,OD1162,1132.8925000227591,326.19194533121106,4,Clothing,Shirts,Debit Card,2026-01-24 22:52:11,Customer_9,Delhi,,1,1,2026
163,OD1163,1456.5772067279286,244.3497997944725,2,Clothing,T-shirts,COD,2025-12-14 16:44:13,Customer_35,Gujarat,,12,4,2025
164,OD1164,333.8586710613298,-11.001415588389245,1,Clothing,Shirts,Debit Card,2026-01-15 20:09:46,Customer_32,Tamil Nadu,,1,1,2026
165,OD1165,1087.539831757085,85.42348991626552,1,Electronics,Phones,Debit Card,2025-12-16 21:42:30,Customer_2,Gujarat,,12,4,2025
166,OD1166,1910.5978244951416,-147.4317732289093,4,Clothing,Shirts,,2025-12-24 18:27:11,Customer_44,Delhi,,12,4,2025
167,OD1167,2199.235918790428,601.6010010043209,3,Electronics,Phones,COD,2026-01-10 16:47:48,Customer_11,Uttar Pradesh,,1,1,2026
168,OD1168,2902.3323500209276,-284.49824841232333,2,Furniture,Chairs,UPI,2026-01-11 10:05:57,Customer_41,Maharashtra,,1,1,2026
169,OD1169,2353.155637079065,392.37859101655783,3,Clothing,Jeans,Credit Card,2026-02-04 21:55:23,Customer_35,Tamil Nadu,,2,1,2026
170,OD1170,4171.221626619537,1201.1650783946272,4,Furniture,Tables,Debit Card,2026-01-16 04:34:23,Customer_11,Tamil Nadu,,1,1,2026
171,OD1171,2052.570581039211,,2,Furniture,Chairs,UPI,2026-01-26 12:33:33,Customer_14,Delhi,,1,1,2026
172,OD1172,2632.933956540411,,2,Furniture,Chairs,Debit Card,2026-01-03 10:29:30,Customer_48,Maharashtra,,1,1,2026
173,OD1173,401.94521335680406,65.73982302846503,1,Furniture,Chairs,,2025-12-28 20:59:09,Customer_18,Maharashtra,,12,4,2025
174,OD1174,1292.0096933597088,183.4415635248926,4,Furniture,Tables,COD,2026-01-28 21:38:41,Customer_43,Maharashtra,,1,1,2026
175,OD1175,226.67437340187104,3.5076132506342463,1,Electronics,Phones,UPI,2026-01-24 20:04:17,Customer_46,Uttar Pradesh,,1,1,2026
176,OD1176,3692.9529561532863,756.7379611466752,3,Furniture,Tables,,2026-01-20 20:27:13,Customer_49,Karnataka,,1,1,2026
177,OD1177,559.7337190391135,,1,Electronics,Laptops,Debit Card,2026-01-12 02:07:03,Customer_13,Karnataka,,1,1,2026
178,OD1178,432.5617832240584,21.32560590909897,1,Electronics,Phones,,2025-12-18 16:24:08,Customer_23,Karnataka,,12,4,2025
179,OD1179,2326.1641181840246,233.0307566669747,2,Furniture,Tables,UPI,2026-01-26 03:23:39,Customer_48,Delhi,,1,1,2026
180,OD1180,2888.7347933830943,150.44024557309876,5,Furniture,Chairs,COD,2025-12-21 14:31:30,Customer_47,Gujarat,,12,4,2025
181,OD1181,2203.3745398779683,239.0521527456294,2,Clothing,Jeans,Debit Card,2026-02-01 05:47:59,Customer_8,Tamil Nadu,,2,1,2026
182,OD1182,5591.393450859317,-424.3478685397586,4,Clothing,Shirts,UPI,2025-12-29 01:49:53,Customer_48,Delhi,,12,4,2025
183,OD1183,1837.9487792348448,25.63784303571699,4,Furniture,Chairs,COD,2026-01-08 06:56:32,Customer_11,Gujarat,,1,1,2026
184,OD1184,4418.760401088325,264.95807669726463,4,Clothing,T-shirts,Credit Card,2026-01-30 09:01:29,Customer_25,Maharashtra,,1,1,2026
185,OD1185,1416.054747095511,155.85856626744155,4,Furniture,Bookcases,Debit Card,2026-01-07 22:56:01,Customer_35,Maharashtra,,1,1,2026
186,OD1186,2769.706969679856,193.3559303866573,2,Furniture,Chairs,Credit Card,2026-01-20 08:27:53,Customer_25,Tamil Nadu,,1,1,2026
187,OD1187,310.852862348926,48.24252470795348,3,Furniture,Bookcases,UPI,2026-01-24 00:05:52,Customer_32,Maharashtra,,1,1,2026
188,OD1188,689.365639916656,30.545107408743466,2,Furniture,Chairs,Credit Card,2026-01-12 03:22:41,Customer_49,Maharashtra,,1,1,2026
